timestamp_sec,flow_id,cpu_req,ram_req,msd_req,is_ddos_spike
18.1,FLOW_181,8.23,2.42,1,0
18.2,FLOW_182,70.48,33.66,5,1
18.3,FLOW_183,2.15,2.56,1,0
18.4,FLOW_184,2.43,1.61,2,0
18.5,FLOW_185,2.92,3.41,2,0
18.6,FLOW_186,3.8,3.85,2,0
18.7,FLOW_187,7.26,3.43,2,0
18.8,FLOW_188,2.09,1.27,2,0
18.9,FLOW_189,9.04,1.28,1,0
19.0,FLOW_190,28.39,8.33,5,0
19.1,FLOW_191,4.92,1.4,2,0
19.2,FLOW_192,8.03,1.72,2,0
19.3,FLOW_193,7.27,3.27,2,0
19.4,FLOW_194,5.5,2.91,1,0
19.5,FLOW_195,8.18,3.2,2,0
19.6,FLOW_196,4.48,1.28,1,0
19.7,FLOW_197,16.35,18.38,4,0
19.8,FLOW_198,5.58,2.71,2,0
19.9,FLOW_199,6.84,3.3,1,0
20.0,FLOW_200,2.49,3.18,1,0
20.1,FLOW_201,7.37,1.55,2,0
20.2,FLOW_202,5.82,3.35,2,0
20.3,FLOW_203,9.75,1.87,1,0
20.4,FLOW_204,3.54,3.57,2,0
20.5,FLOW_205,6.95,2.73,2,0
20.6,FLOW_206,24.53,13.92,4,0
20.7,FLOW_207,3.69,2.88,2,0
20.8,FLOW_208,7.24,3.62,1,0
20.9,FLOW_209,9.66,1.83,2,0
21.0,FLOW_210,8.4,1.55,1,0
21.1,FLOW_211,85.09,42.98,4,1
21.2,FLOW_212,6.58,3.19,2,0
21.3,FLOW_213,3.02,4.37,1,0
21.4,FLOW_214,5.36,3.29,2,0
21.5,FLOW_215,71.11,31.19,5,1
21.6,FLOW_216,3.4,2.83,2,0
21.7,FLOW_217,3.89,3.26,2,0
21.8,FLOW_218,69.77,31.37,4,1
21.9,FLOW_219,9.52,4.67,2,0
22.0,FLOW_220,25.05,15.95,5,0
22.1,FLOW_221,8.14,3.61,2,0
22.2,FLOW_222,5.83,1.12,1,0
22.3,FLOW_223,22.16,12.07,4,0
22.4,FLOW_224,6.0,1.58,2,0
22.5,FLOW_225,9.45,4.22,1,0
22.6,FLOW_226,9.9,1.07,1,0
22.7,FLOW_227,3.18,2.03,1,0
22.8,FLOW_228,7.8,1.72,2,0
22.9,FLOW_229,29.86,12.89,4,0
23.0,FLOW_230,9.76,4.51,1,0
23.1,FLOW_231,9.62,1.1,2,0
23.2,FLOW_232,9.68,4.46,2,0
23.3,FLOW_233,5.51,1.97,2,0
23.4,FLOW_234,5.33,1.98,2,0
23.5,FLOW_235,3.96,4.16,1,0
23.6,FLOW_236,4.11,4.14,2,0
23.7,FLOW_237,16.43,19.32,5,0
23.8,FLOW_238,20.04,17.34,5,0
23.9,FLOW_239,9.09,2.15,2,0
24.0,FLOW_240,7.99,4.6,2,0
24.1,FLOW_241,5.96,1.34,1,0
24.2,FLOW_242,24.63,15.79,4,0
24.3,FLOW_243,7.75,1.59,2,0
24.4,FLOW_244,6.34,4.73,2,0
24.5,FLOW_245,3.32,3.84,2,0
24.6,FLOW_246,5.13,2.38,2,0
24.7,FLOW_247,66.5,46.61,5,1
24.8,FLOW_248,9.38,2.31,1,0
24.9,FLOW_249,4.18,1.61,1,0
25.0,FLOW_250,26.23,17.04,4,0
25.1,FLOW_251,4.31,2.63,2,0
25.2,FLOW_252,2.33,4.84,2,0
25.3,FLOW_253,8.04,1.98,1,0
25.4,FLOW_254,7.36,3.87,2,0
25.5,FLOW_255,2.41,2.32,1,0
25.6,FLOW_256,7.66,4.49,1,0
25.7,FLOW_257,29.9,8.07,5,0
25.8,FLOW_258,4.1,1.47,1,0
25.9,FLOW_259,8.46,4.74,2,0
26.0,FLOW_260,2.73,2.26,1,0
26.1,FLOW_261,2.46,1.54,2,0
26.2,FLOW_262,6.76,1.04,1,0
26.3,FLOW_263,3.59,2.69,2,0
26.4,FLOW_264,4.07,4.26,1,0
26.5,FLOW_265,3.45,3.69,2,0
26.6,FLOW_266,9.73,4.47,2,0
26.7,FLOW_267,2.09,3.32,1,0
26.8,FLOW_268,2.48,5.0,1,0
26.9,FLOW_269,4.49,4.52,2,0
27.0,FLOW_270,4.14,4.22,2,0
27.1,FLOW_271,7.81,3.87,2,0
27.2,FLOW_272,3.26,2.41,2,0
27.3,FLOW_273,4.84,1.8,2,0
27.4,FLOW_274,26.28,14.48,5,0
27.5,FLOW_275,26.53,16.44,4,0
27.6,FLOW_276,3.69,2.51,2,0
27.7,FLOW_277,8.9,1.07,2,0
27.8,FLOW_278,6.61,2.65,2,0
27.9,FLOW_279,5.03,1.33,1,0
28.0,FLOW_280,7.83,3.55,2,0
28.1,FLOW_281,18.87,16.22,5,0
28.2,FLOW_282,3.75,2.97,1,0
28.3,FLOW_283,5.75,1.24,1,0
28.4,FLOW_284,7.97,2.56,1,0
28.5,FLOW_285,7.87,1.3,1,0
28.6,FLOW_286,25.09,16.34,4,0
28.7,FLOW_287,26.09,15.92,4,0
28.8,FLOW_288,2.31,3.05,1,0
28.9,FLOW_289,77.25,48.94,5,1
29.0,FLOW_290,9.7,1.92,2,0
29.1,FLOW_291,3.83,2.74,2,0
29.2,FLOW_292,29.05,15.35,4,0
29.3,FLOW_293,5.22,4.87,2,0
29.4,FLOW_294,7.4,1.59,1,0
29.5,FLOW_295,15.23,19.02,4,0
29.6,FLOW_296,8.51,1.87,1,0
29.7,FLOW_297,27.56,13.88,5,0
29.8,FLOW_298,4.73,2.04,2,0
29.9,FLOW_299,23.6,16.92,5,0
30.0,FLOW_300,22.18,12.16,4,0
30.1,FLOW_301,7.83,4.89,1,0
30.2,FLOW_302,3.21,4.65,1,0
30.3,FLOW_303,7.67,4.7,1,0
30.4,FLOW_304,8.44,3.73,2,0
30.5,FLOW_305,3.16,4.5,1,0
30.6,FLOW_306,2.73,1.69,1,0
30.7,FLOW_307,7.81,1.72,2,0
30.8,FLOW_308,84.17,38.72,5,1
30.9,FLOW_309,8.68,1.15,2,0
31.0,FLOW_310,71.95,46.71,5,1
31.1,FLOW_311,2.68,4.04,1,0
31.2,FLOW_312,3.59,4.43,1,0
31.3,FLOW_313,25.02,8.86,5,0
31.4,FLOW_314,4.81,3.48,1,0
31.5,FLOW_315,6.85,2.24,1,0
31.6,FLOW_316,6.1,1.55,2,0
31.7,FLOW_317,26.37,9.26,5,0
31.8,FLOW_318,23.48,19.14,5,0
31.9,FLOW_319,8.46,2.82,2,0
32.0,FLOW_320,8.53,2.24,1,0
32.1,FLOW_321,8.4,4.05,1,0
32.2,FLOW_322,86.97,43.41,5,1
32.3,FLOW_323,8.3,1.23,2,0
32.4,FLOW_324,6.93,4.4,2,0
32.5,FLOW_325,86.93,40.32,5,1
32.6,FLOW_326,3.3,4.07,1,0
32.7,FLOW_327,2.5,4.98,2,0
32.8,FLOW_328,5.2,1.84,2,0
32.9,FLOW_329,3.5,4.13,1,0
33.0,FLOW_330,90.15,31.57,4,1
33.1,FLOW_331,28.7,18.61,4,0
33.2,FLOW_332,5.19,1.43,2,0
33.3,FLOW_333,7.96,1.19,2,0
33.4,FLOW_334,8.26,3.06,1,0
33.5,FLOW_335,5.78,4.18,1,0
33.6,FLOW_336,7.47,4.62,2,0
33.7,FLOW_337,8.24,4.14,1,0
33.8,FLOW_338,29.62,12.03,4,0
33.9,FLOW_339,5.78,2.45,1,0
34.0,FLOW_340,5.17,1.65,1,0
34.1,FLOW_341,9.3,4.76,2,0
34.2,FLOW_342,28.89,16.59,4,0
34.3,FLOW_343,2.18,3.18,1,0
34.4,FLOW_344,3.93,4.03,2,0
34.5,FLOW_345,21.17,15.62,4,0
34.6,FLOW_346,4.42,2.72,2,0
34.7,FLOW_347,25.79,15.97,4,0
34.8,FLOW_348,5.97,3.81,2,0
34.9,FLOW_349,9.89,3.58,1,0
35.0,FLOW_350,3.81,1.37,2,0
35.1,FLOW_351,9.12,2.27,2,0
35.2,FLOW_352,6.92,1.91,1,0
35.3,FLOW_353,23.52,11.51,4,0
35.4,FLOW_354,6.98,3.34,2,0
35.5,FLOW_355,19.98,9.38,5,0
35.6,FLOW_356,9.08,2.3,2,0
35.7,FLOW_357,27.48,8.55,4,0
35.8,FLOW_358,6.4,1.54,1,0
35.9,FLOW_359,63.1,48.0,5,1
36.0,FLOW_360,18.21,11.52,5,0
36.1,FLOW_361,63.27,40.88,5,1
36.2,FLOW_362,75.35,41.48,4,1
36.3,FLOW_363,2.76,3.85,2,0
36.4,FLOW_364,9.24,3.18,2,0
36.5,FLOW_365,7.18,4.81,1,0
36.6,FLOW_366,8.79,2.65,2,0
36.7,FLOW_367,5.43,2.11,2,0
36.8,FLOW_368,2.83,3.15,2,0
36.9,FLOW_369,8.51,3.18,2,0
37.0,FLOW_370,26.85,14.05,4,0
37.1,FLOW_371,7.77,3.68,2,0
37.2,FLOW_372,68.51,35.94,5,1
37.3,FLOW_373,2.6,3.04,1,0
37.4,FLOW_374,4.09,4.34,1,0
37.5,FLOW_375,8.38,1.27,1,0
37.6,FLOW_376,5.24,1.68,2,0
37.7,FLOW_377,2.39,4.82,1,0
37.8,FLOW_378,28.05,12.1,5,0
37.9,FLOW_379,21.76,15.97,5,0
38.0,FLOW_380,4.97,1.96,2,0
38.1,FLOW_381,22.68,15.45,5,0
38.2,FLOW_382,7.59,4.93,2,0
38.3,FLOW_383,6.19,4.75,2,0
38.4,FLOW_384,7.83,4.05,2,0
38.5,FLOW_385,29.43,13.21,5,0
38.6,FLOW_386,21.72,11.14,4,0
38.7,FLOW_387,7.81,2.35,2,0
38.8,FLOW_388,3.55,1.96,1,0
38.9,FLOW_389,7.28,2.51,2,0
39.0,FLOW_390,3.71,1.35,2,0
39.1,FLOW_391,5.86,1.63,2,0
39.2,FLOW_392,3.44,4.72,1,0
39.3,FLOW_393,3.71,2.98,2,0
39.4,FLOW_394,9.46,1.11,2,0
39.5,FLOW_395,24.3,8.52,5,0
39.6,FLOW_396,7.05,2.44,1,0
39.7,FLOW_397,66.27,30.24,4,1
39.8,FLOW_398,2.94,3.42,1,0
39.9,FLOW_399,8.34,2.77,1,0
40.0,FLOW_400,9.41,2.49,1,0
40.1,FLOW_401,6.3,3.51,1,0
40.2,FLOW_402,84.17,31.08,4,1
40.3,FLOW_403,9.24,2.77,1,0
40.4,FLOW_404,21.97,16.27,4,0
40.5,FLOW_405,6.1,4.78,2,0
40.6,FLOW_406,3.47,3.1,1,0
40.7,FLOW_407,2.58,4.96,1,0
40.8,FLOW_408,19.81,13.26,5,0
40.9,FLOW_409,25.0,12.67,4,0
41.0,FLOW_410,9.1,3.85,2,0
41.1,FLOW_411,9.87,3.62,2,0
41.2,FLOW_412,5.06,3.91,2,0
41.3,FLOW_413,19.99,19.53,4,0
41.4,FLOW_414,9.61,1.67,2,0
41.5,FLOW_415,5.17,2.14,2,0
41.6,FLOW_416,21.2,8.32,5,0
41.7,FLOW_417,7.77,1.37,2,0
41.8,FLOW_418,22.34,10.38,5,0
41.9,FLOW_419,5.44,2.01,2,0
42.0,FLOW_420,4.73,2.04,1,0
42.1,FLOW_421,9.64,4.37,2,0
42.2,FLOW_422,75.1,35.56,4,1
42.3,FLOW_423,16.43,18.24,4,0
42.4,FLOW_424,9.79,4.19,1,0
42.5,FLOW_425,9.7,3.79,2,0
42.6,FLOW_426,23.66,12.25,4,0
42.7,FLOW_427,9.89,3.93,1,0
42.8,FLOW_428,72.42,36.1,4,1
42.9,FLOW_429,9.22,4.59,2,0
43.0,FLOW_430,4.5,2.31,1,0
43.1,FLOW_431,2.1,1.27,2,0
43.2,FLOW_432,9.92,4.72,1,0
43.3,FLOW_433,19.03,18.46,5,0
43.4,FLOW_434,4.89,1.81,1,0
43.5,FLOW_435,8.6,3.39,1,0
43.6,FLOW_436,9.94,2.9,1,0
43.7,FLOW_437,6.52,4.71,2,0
43.8,FLOW_438,2.29,2.29,2,0
43.9,FLOW_439,25.53,18.74,4,0
44.0,FLOW_440,5.55,3.72,2,0
44.1,FLOW_441,9.14,3.9,1,0
44.2,FLOW_442,9.76,3.41,1,0
44.3,FLOW_443,9.66,3.42,1,0
44.4,FLOW_444,92.6,39.05,4,1
44.5,FLOW_445,4.26,2.13,1,0
44.6,FLOW_446,6.73,3.29,1,0
44.7,FLOW_447,74.72,39.39,5,1
44.8,FLOW_448,6.98,1.46,1,0
44.9,FLOW_449,15.79,12.6,4,0
45.0,FLOW_450,23.03,19.06,4,0
45.1,FLOW_451,2.46,2.58,1,0
45.2,FLOW_452,4.1,4.41,2,0
45.3,FLOW_453,7.32,4.64,2,0
45.4,FLOW_454,3.88,1.43,1,0
45.5,FLOW_455,85.6,44.91,4,1
45.6,FLOW_456,3.93,1.59,2,0
45.7,FLOW_457,9.27,4.11,1,0
45.8,FLOW_458,5.39,2.35,2,0
45.9,FLOW_459,6.69,3.35,2,0
46.0,FLOW_460,8.63,2.07,1,0
46.1,FLOW_461,61.21,44.67,4,1
46.2,FLOW_462,21.13,11.7,4,0
46.3,FLOW_463,61.26,34.17,5,1
46.4,FLOW_464,26.38,17.1,4,0
46.5,FLOW_465,4.18,4.25,2,0
46.6,FLOW_466,15.78,15.45,4,0
46.7,FLOW_467,4.8,2.15,1,0
46.8,FLOW_468,23.39,18.87,5,0
46.9,FLOW_469,4.12,3.82,2,0
47.0,FLOW_470,6.21,4.89,1,0
47.1,FLOW_471,26.74,8.78,5,0
47.2,FLOW_472,3.91,1.81,1,0
47.3,FLOW_473,4.67,1.16,2,0
47.4,FLOW_474,9.32,4.12,1,0
47.5,FLOW_475,9.87,3.68,1,0
47.6,FLOW_476,16.86,8.86,5,0
47.7,FLOW_477,4.24,3.2,2,0
47.8,FLOW_478,3.11,1.64,2,0
47.9,FLOW_479,7.37,1.11,2,0
48.0,FLOW_480,2.36,2.17,1,0
48.1,FLOW_481,9.56,3.26,1,0
48.2,FLOW_482,5.71,3.79,2,0
48.3,FLOW_483,2.61,4.12,2,0
48.4,FLOW_484,16.07,17.76,5,0
48.5,FLOW_485,16.0,18.57,5,0
48.6,FLOW_486,8.39,2.27,1,0
48.7,FLOW_487,5.89,3.31,2,0
48.8,FLOW_488,4.96,2.58,2,0
48.9,FLOW_489,7.19,1.57,1,0
49.0,FLOW_490,18.76,19.98,5,0
49.1,FLOW_491,22.44,8.18,4,0
49.2,FLOW_492,6.8,1.24,2,0
49.3,FLOW_493,8.68,1.33,1,0
49.4,FLOW_494,8.87,2.47,2,0
49.5,FLOW_495,29.92,15.03,5,0
49.6,FLOW_496,15.14,13.05,5,0
49.7,FLOW_497,93.55,35.21,4,1
49.8,FLOW_498,9.15,3.03,2,0
49.9,FLOW_499,4.7,2.91,2,0
50.0,FLOW_500,4.41,2.56,2,0
50.1,FLOW_501,9.55,4.58,1,0
50.2,FLOW_502,71.61,37.46,5,1
50.3,FLOW_503,3.26,2.37,2,0
50.4,FLOW_504,2.44,2.95,2,0
50.5,FLOW_505,2.2,4.08,2,0
50.6,FLOW_506,7.25,4.82,2,0
50.7,FLOW_507,7.57,3.16,1,0
50.8,FLOW_508,78.18,46.77,4,1
50.9,FLOW_509,7.43,2.85,2,0
51.0,FLOW_510,5.33,3.0,2,0
51.1,FLOW_511,6.94,1.56,2,0
51.2,FLOW_512,24.65,19.07,5,0
51.3,FLOW_513,8.37,2.41,2,0
51.4,FLOW_514,2.56,2.74,2,0
51.5,FLOW_515,22.44,10.84,4,0
51.6,FLOW_516,3.26,2.96,1,0
51.7,FLOW_517,9.99,2.4,1,0
51.8,FLOW_518,9.52,2.61,1,0
51.9,FLOW_519,84.84,46.5,4,1
52.0,FLOW_520,25.59,10.22,5,0
52.1,FLOW_521,7.98,4.23,2,0
52.2,FLOW_522,2.03,4.56,1,0
52.3,FLOW_523,3.0,2.65,1,0
52.4,FLOW_524,61.11,46.29,5,1
52.5,FLOW_525,3.92,2.28,2,0
52.6,FLOW_526,67.78,42.08,4,1
52.7,FLOW_527,69.81,47.73,4,1
52.8,FLOW_528,2.52,1.15,1,0
52.9,FLOW_529,5.89,4.34,2,0
53.0,FLOW_530,3.85,4.13,2,0
53.1,FLOW_531,4.57,3.22,1,0
53.2,FLOW_532,3.85,1.48,2,0
53.3,FLOW_533,2.04,4.83,2,0
53.4,FLOW_534,8.85,4.69,2,0
53.5,FLOW_535,4.02,3.36,1,0
53.6,FLOW_536,6.81,2.03,1,0
53.7,FLOW_537,2.17,2.58,1,0
53.8,FLOW_538,5.39,1.82,1,0
53.9,FLOW_539,9.37,2.96,2,0
54.0,FLOW_540,8.64,1.83,1,0
54.1,FLOW_541,5.64,1.41,1,0
54.2,FLOW_542,6.01,2.29,2,0
54.3,FLOW_543,9.68,1.84,2,0
54.4,FLOW_544,9.6,4.07,2,0
54.5,FLOW_545,17.2,19.57,4,0
54.6,FLOW_546,25.48,15.52,4,0
54.7,FLOW_547,9.22,3.87,1,0
54.8,FLOW_548,90.88,45.28,5,1
54.9,FLOW_549,2.52,4.52,1,0
55.0,FLOW_550,8.51,1.95,2,0
55.1,FLOW_551,15.84,9.38,4,0
55.2,FLOW_552,8.98,3.33,1,0
55.3,FLOW_553,19.95,10.98,4,0
55.4,FLOW_554,5.09,1.7,1,0
55.5,FLOW_555,8.19,2.55,1,0
55.6,FLOW_556,93.69,30.01,5,1
55.7,FLOW_557,2.1,2.43,1,0
55.8,FLOW_558,7.56,2.01,2,0
55.9,FLOW_559,9.39,2.96,2,0
56.0,FLOW_560,75.81,46.82,5,1
56.1,FLOW_561,9.67,1.45,2,0
56.2,FLOW_562,4.06,4.81,2,0
56.3,FLOW_563,26.59,14.32,4,0
56.4,FLOW_564,24.38,8.22,4,0
56.5,FLOW_565,9.93,2.82,1,0
56.6,FLOW_566,9.03,4.02,2,0
56.7,FLOW_567,2.47,1.55,2,0
56.8,FLOW_568,6.1,1.68,1,0
56.9,FLOW_569,8.78,1.66,1,0
57.0,FLOW_570,76.89,44.77,4,1
57.1,FLOW_571,5.25,1.14,2,0
57.2,FLOW_572,2.13,1.63,2,0
57.3,FLOW_573,9.15,2.12,1,0
57.4,FLOW_574,6.12,4.95,2,0
57.5,FLOW_575,4.28,3.2,2,0
57.6,FLOW_576,4.12,2.76,2,0
57.7,FLOW_577,4.99,3.11,1,0
57.8,FLOW_578,3.19,3.82,1,0
57.9,FLOW_579,5.75,1.98,2,0
58.0,FLOW_580,7.62,2.39,2,0
58.1,FLOW_581,2.83,1.92,1,0
58.2,FLOW_582,2.77,1.78,2,0
58.3,FLOW_583,9.41,3.67,2,0
58.4,FLOW_584,2.4,3.55,2,0
58.5,FLOW_585,3.68,3.64,2,0
58.6,FLOW_586,3.97,3.88,1,0
58.7,FLOW_587,3.89,2.29,2,0
58.8,FLOW_588,8.54,1.31,1,0
58.9,FLOW_589,94.07,36.46,4,1
59.0,FLOW_590,4.28,4.17,1,0
59.1,FLOW_591,6.55,1.87,2,0
59.2,FLOW_592,22.35,17.05,4,0
59.3,FLOW_593,27.02,8.12,5,0
59.4,FLOW_594,7.17,4.33,2,0
59.5,FLOW_595,7.09,3.11,1,0
59.6,FLOW_596,16.54,17.99,4,0
59.7,FLOW_597,21.04,11.69,4,0
59.8,FLOW_598,27.79,8.93,5,0
59.9,FLOW_599,8.95,1.1,2,0
60.0,FLOW_600,4.89,3.59,2,0
60.1,FLOW_601,2.4,1.11,1,0
60.2,FLOW_602,19.88,12.12,5,0
60.3,FLOW_603,9.59,4.32,2,0
60.4,FLOW_604,7.42,4.43,1,0
